Subset,Subset size,Features
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,16,ENSG00000060982.10;ENSG00000068120.10;ENSG00000100024.10;ENSG00000105552.10;ENSG00000112299.7;ENSG00000112303.9;ENSG00000120137.6;ENSG00000125779.17;ENSG00000127125.7;ENSG00000138621.7;ENSG00000147647.8;ENSG00000152782.12;ENSG00000154269.10;ENSG00000157881.9;ENSG00000188641.8;ENSG00000197594.7
KEGG_PHENYLALANINE_METABOLISM,17,ENSG00000006534.11;ENSG00000069535.12;ENSG00000104951.11;ENSG00000108602.13;ENSG00000117592.8;ENSG00000120053.9;ENSG00000125166.8;ENSG00000131471.2;ENSG00000131480.4;ENSG00000132437.13;ENSG00000132746.10;ENSG00000158104.7;ENSG00000171759.4;ENSG00000184254.12;ENSG00000189221.5;ENSG00000198650.6;ENSG00000240972.1
KEGG_STEROID_BIOSYNTHESIS,17,ENSG00000001630.11;ENSG00000052802.8;ENSG00000057252.8;ENSG00000079459.8;ENSG00000104549.7;ENSG00000107798.13;ENSG00000109929.5;ENSG00000111012.5;ENSG00000116133.7;ENSG00000132196.9;ENSG00000147155.6;ENSG00000147383.6;ENSG00000149809.10;ENSG00000160285.10;ENSG00000167780.7;ENSG00000170835.10;ENSG00000172893.11
KEGG_ONE_CARBON_POOL_BY_FOLATE,17,ENSG00000065911.7;ENSG00000100714.11;ENSG00000103707.5;ENSG00000116984.8;ENSG00000120254.11;ENSG00000136371.5;ENSG00000138363.10;ENSG00000144908.9;ENSG00000145020.10;ENSG00000159131.12;ENSG00000160282.9;ENSG00000163738.14;ENSG00000176890.11;ENSG00000176974.13;ENSG00000177000.6;ENSG00000182199.6;ENSG00000228716.2
KEGG_RENIN_ANGIOTENSIN_SYSTEM,17,ENSG00000064601.12;ENSG00000092009.6;ENSG00000100448.3;ENSG00000113441.11;ENSG00000123213.18;ENSG00000130234.6;ENSG00000130368.4;ENSG00000135744.7;ENSG00000138792.5;ENSG00000143839.12;ENSG00000144891.13;ENSG00000159640.10;ENSG00000163751.3;ENSG00000166825.9;ENSG00000180772.6;ENSG00000196549.6;ENSG00000261342.1
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,18,ENSG00000069764.5;ENSG00000087008.11;ENSG00000100078.3;ENSG00000116711.8;ENSG00000123739.6;ENSG00000127472.6;ENSG00000134824.9;ENSG00000138308.5;ENSG00000158786.4;ENSG00000161533.7;ENSG00000168970.16;ENSG00000170890.9;ENSG00000184381.14;ENSG00000187980.6;ENSG00000188089.9;ENSG00000188257.6;ENSG00000188784.4;ENSG00000243708.4
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,20,ENSG00000012660.9;ENSG00000060971.13;ENSG00000084754.6;ENSG00000087008.11;ENSG00000097021.15;ENSG00000099194.5;ENSG00000099797.7;ENSG00000115425.9;ENSG00000119673.10;ENSG00000134824.9;ENSG00000136881.7;ENSG00000145284.7;ENSG00000149084.7;ENSG00000149485.12;ENSG00000161533.7;ENSG00000170522.5;ENSG00000177465.4;ENSG00000180667.6;ENSG00000184227.3;ENSG00000197977.3
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,21,ENSG00000010404.13;ENSG00000049860.9;ENSG00000068001.9;ENSG00000106302.5;ENSG00000108784.5;ENSG00000113273.11;ENSG00000114378.12;ENSG00000125430.4;ENSG00000127415.8;ENSG00000135677.6;ENSG00000141012.8;ENSG00000153976.2;ENSG00000165102.10;ENSG00000169919.12;ENSG00000170266.11;ENSG00000172987.8;ENSG00000173083.10;ENSG00000181523.8;ENSG00000186792.11;ENSG00000213614.5;ENSG00000241489.3
KEGG_BETA_ALANINE_METABOLISM,22,ENSG00000072210.14;ENSG00000084754.6;ENSG00000100024.10;ENSG00000102172.11;ENSG00000103150.4;ENSG00000111275.8;ENSG00000113790.6;ENSG00000116649.5;ENSG00000117054.9;ENSG00000127884.4;ENSG00000128683.9;ENSG00000131471.2;ENSG00000131480.4;ENSG00000136750.7;ENSG00000137124.6;ENSG00000143149.8;ENSG00000147647.8;ENSG00000150656.10;ENSG00000164904.11;ENSG00000183044.7;ENSG00000188641.8;ENSG00000198130.10
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,22,ENSG00000015532.5;ENSG00000027847.9;ENSG00000033100.10;ENSG00000103489.7;ENSG00000109956.8;ENSG00000111817.12;ENSG00000111962.7;ENSG00000112309.6;ENSG00000122863.5;ENSG00000123989.9;ENSG00000131873.5;ENSG00000136213.7;ENSG00000147119.3;ENSG00000147408.10;ENSG00000149541.5;ENSG00000169105.6;ENSG00000169826.6;ENSG00000171310.6;ENSG00000176022.3;ENSG00000180767.5;ENSG00000182022.13;ENSG00000198108.3
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,23,ENSG00000007372.16;ENSG00000101076.12;ENSG00000106331.10;ENSG00000106633.11;ENSG00000108753.8;ENSG00000114315.3;ENSG00000116833.9;ENSG00000121351.3;ENSG00000122859.4;ENSG00000125820.5;ENSG00000130675.10;ENSG00000135100.13;ENSG00000143627.13;ENSG00000152804.6;ENSG00000162992.3;ENSG00000163581.9;ENSG00000163623.5;ENSG00000164749.7;ENSG00000169856.7;ENSG00000170608.2;ENSG00000180535.3;ENSG00000182759.3;ENSG00000254647.2
KEGG_MISMATCH_REPAIR,23,ENSG00000035928.10;ENSG00000049541.6;ENSG00000062822.8;ENSG00000076242.10;ENSG00000077514.4;ENSG00000095002.8;ENSG00000105486.9;ENSG00000106028.6;ENSG00000106399.7;ENSG00000106628.6;ENSG00000111445.9;ENSG00000113318.9;ENSG00000116062.10;ENSG00000117748.5;ENSG00000119684.11;ENSG00000122512.10;ENSG00000132383.7;ENSG00000132646.6;ENSG00000133119.8;ENSG00000163918.6;ENSG00000174371.12;ENSG00000175482.4;ENSG00000204086.3
KEGG_PROTEIN_EXPORT,23,ENSG00000008952.12;ENSG00000025796.9;ENSG00000044574.7;ENSG00000058262.5;ENSG00000065665.16;ENSG00000100883.7;ENSG00000106803.5;ENSG00000114902.9;ENSG00000118363.7;ENSG00000129128.8;ENSG00000132432.9;ENSG00000140319.6;ENSG00000140612.9;ENSG00000143742.8;ENSG00000144867.7;ENSG00000148950.5;ENSG00000153037.8;ENSG00000155463.8;ENSG00000166562.4;ENSG00000167881.10;ENSG00000174780.11;ENSG00000180581.6;ENSG00000184903.5
KEGG_NITROGEN_METABOLISM,23,ENSG00000021826.10;ENSG00000070669.12;ENSG00000074410.9;ENSG00000084110.6;ENSG00000104267.5;ENSG00000107159.8;ENSG00000115419.8;ENSG00000116761.7;ENSG00000118298.6;ENSG00000131686.10;ENSG00000133742.9;ENSG00000135423.8;ENSG00000135821.12;ENSG00000145020.10;ENSG00000148672.7;ENSG00000164879.6;ENSG00000167434.5;ENSG00000168748.9;ENSG00000169239.8;ENSG00000174990.3;ENSG00000178538.5;ENSG00000182890.3;ENSG00000185015.3
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,23,ENSG00000014641.13;ENSG00000018625.10;ENSG00000066230.6;ENSG00000069849.6;ENSG00000080493.9;ENSG00000100889.7;ENSG00000104267.5;ENSG00000105409.11;ENSG00000115419.8;ENSG00000124253.9;ENSG00000129244.4;ENSG00000132681.12;ENSG00000135423.8;ENSG00000137731.9;ENSG00000143153.8;ENSG00000148672.7;ENSG00000163399.11;ENSG00000167434.5;ENSG00000182890.3;ENSG00000183048.7;ENSG00000188338.10;ENSG00000240583.6;ENSG00000250424.3
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,24,ENSG00000004468.8;ENSG00000008130.11;ENSG00000076685.14;ENSG00000103485.13;ENSG00000105835.7;ENSG00000106733.16;ENSG00000109743.6;ENSG00000112874.5;ENSG00000112992.12;ENSG00000116981.3;ENSG00000122643.14;ENSG00000125458.2;ENSG00000135318.7;ENSG00000138356.9;ENSG00000154269.10;ENSG00000157064.6;ENSG00000163864.10;ENSG00000166741.3;ENSG00000172890.7;ENSG00000173614.9;ENSG00000185013.12;ENSG00000197594.7;ENSG00000198805.7;ENSG00000205309.9
KEGG_DORSO_VENTRAL_AXIS_FORMATION,24,ENSG00000010030.9;ENSG00000074181.4;ENSG00000100030.10;ENSG00000100485.7;ENSG00000102882.7;ENSG00000115904.8;ENSG00000125207.3;ENSG00000133703.7;ENSG00000134250.13;ENSG00000134278.10;ENSG00000134627.7;ENSG00000134954.10;ENSG00000139083.6;ENSG00000146648.11;ENSG00000148400.9;ENSG00000155816.15;ENSG00000157557.7;ENSG00000169032.5;ENSG00000177885.9;ENSG00000184571.9;ENSG00000197181.7;ENSG00000204301.5;ENSG00000204991.6;ENSG00000214575.5
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,25,ENSG00000064225.8;ENSG00000086062.8;ENSG00000110080.14;ENSG00000111728.6;ENSG00000111846.11;ENSG00000117411.12;ENSG00000121578.8;ENSG00000126091.15;ENSG00000130383.6;ENSG00000156413.9;ENSG00000158850.10;ENSG00000162630.5;ENSG00000170340.10;ENSG00000171124.8;ENSG00000172318.4;ENSG00000172461.6;ENSG00000174951.6;ENSG00000175164.9;ENSG00000176383.8;ENSG00000176597.7;ENSG00000176920.10;ENSG00000179913.6;ENSG00000180549.7;ENSG00000183778.13;ENSG00000196371.2
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,25,ENSG00000007541.10;ENSG00000060642.6;ENSG00000069943.5;ENSG00000087111.16;ENSG00000100564.4;ENSG00000101464.6;ENSG00000108474.12;ENSG00000112293.10;ENSG00000119227.3;ENSG00000124155.12;ENSG00000135845.5;ENSG00000136908.13;ENSG00000142892.10;ENSG00000143315.5;ENSG00000151665.8;ENSG00000163964.9;ENSG00000165195.9;ENSG00000165282.9;ENSG00000174227.11;ENSG00000184886.3;ENSG00000185808.9;ENSG00000197121.10;ENSG00000197563.5;ENSG00000197858.6;ENSG00000255072.1
KEGG_SELENOAMINO_ACID_METABOLISM,25,ENSG00000038274.12;ENSG00000066651.13;ENSG00000086475.10;ENSG00000099998.13;ENSG00000100031.14;ENSG00000101444.8;ENSG00000114735.5;ENSG00000116761.7;ENSG00000131067.12;ENSG00000132330.12;ENSG00000138801.4;ENSG00000151224.8;ENSG00000158467.12;ENSG00000160200.13;ENSG00000165055.11;ENSG00000166986.8;ENSG00000167741.6;ENSG00000168710.13;ENSG00000168806.6;ENSG00000168906.8;ENSG00000179918.15;ENSG00000198682.8;ENSG00000205629.7;ENSG00000206562.7;ENSG00000247626.3
KEGG_HOMOLOGOUS_RECOMBINATION,26,ENSG00000002016.12;ENSG00000051180.12;ENSG00000062822.8;ENSG00000077514.4;ENSG00000085999.7;ENSG00000100038.15;ENSG00000104320.9;ENSG00000106028.6;ENSG00000106399.7;ENSG00000106628.6;ENSG00000108384.10;ENSG00000113522.9;ENSG00000117748.5;ENSG00000126215.9;ENSG00000132383.7;ENSG00000139618.10;ENSG00000154920.10;ENSG00000172732.7;ENSG00000175482.4;ENSG00000177302.10;ENSG00000182185.14;ENSG00000185379.16;ENSG00000196584.2;ENSG00000197275.8;ENSG00000197299.6;ENSG00000204086.3
KEGG_PENTOSE_PHOSPHATE_PATHWAY,26,ENSG00000007350.12;ENSG00000023697.8;ENSG00000049239.8;ENSG00000067057.12;ENSG00000079739.11;ENSG00000101911.8;ENSG00000105220.10;ENSG00000109107.9;ENSG00000130957.4;ENSG00000136872.13;ENSG00000141959.12;ENSG00000142657.16;ENSG00000147224.6;ENSG00000149925.12;ENSG00000151005.3;ENSG00000152556.11;ENSG00000153574.8;ENSG00000160211.11;ENSG00000163931.11;ENSG00000165140.5;ENSG00000169299.9;ENSG00000171174.9;ENSG00000177156.6;ENSG00000197713.10;ENSG00000229937.4;ENSG00000235376.5
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,26,ENSG00000002587.5;ENSG00000012232.4;ENSG00000015532.5;ENSG00000027847.9;ENSG00000070614.10;ENSG00000103489.7;ENSG00000109956.8;ENSG00000112309.6;ENSG00000122254.6;ENSG00000125430.4;ENSG00000136720.6;ENSG00000138604.5;ENSG00000138653.5;ENSG00000149541.5;ENSG00000151348.9;ENSG00000153936.12;ENSG00000153976.2;ENSG00000158008.5;ENSG00000162694.9;ENSG00000164100.7;ENSG00000166507.12;ENSG00000171004.13;ENSG00000176022.3;ENSG00000182197.6;ENSG00000185352.7;ENSG00000249853.3
KEGG_GALACTOSE_METABOLISM,27,ENSG00000067057.12;ENSG00000079739.11;ENSG00000085662.9;ENSG00000086062.8;ENSG00000102393.5;ENSG00000106633.11;ENSG00000108479.7;ENSG00000115850.5;ENSG00000117308.10;ENSG00000117411.12;ENSG00000131482.5;ENSG00000141959.12;ENSG00000152254.6;ENSG00000152556.11;ENSG00000156515.17;ENSG00000156958.10;ENSG00000159399.5;ENSG00000160883.6;ENSG00000167531.2;ENSG00000169299.9;ENSG00000169764.10;ENSG00000170266.11;ENSG00000171298.8;ENSG00000213930.7;ENSG00000214013.5;ENSG00000257335.4;ENSG00000258728.1
KEGG_ASTHMA,27,ENSG00000101017.9;ENSG00000102245.3;ENSG00000113520.6;ENSG00000113525.5;ENSG00000121053.5;ENSG00000136634.5;ENSG00000145839.1;ENSG00000149534.4;ENSG00000158869.6;ENSG00000164399.4;ENSG00000169194.5;ENSG00000169397.3;ENSG00000179344.12;ENSG00000179639.6;ENSG00000186652.5;ENSG00000196126.6;ENSG00000196735.7;ENSG00000198502.5;ENSG00000204252.8;ENSG00000204257.10;ENSG00000204287.9;ENSG00000223865.6;ENSG00000231389.3;ENSG00000232810.3;ENSG00000237541.3;ENSG00000241106.2;ENSG00000242574.4
KEGG_LINOLEIC_ACID_METABOLISM,27,ENSG00000021461.12;ENSG00000069764.5;ENSG00000100078.3;ENSG00000106258.9;ENSG00000108242.8;ENSG00000116711.8;ENSG00000123739.6;ENSG00000127472.6;ENSG00000130649.5;ENSG00000134716.5;ENSG00000138109.9;ENSG00000138115.9;ENSG00000138308.5;ENSG00000158786.4;ENSG00000160868.10;ENSG00000160870.8;ENSG00000161905.8;ENSG00000165841.5;ENSG00000168970.16;ENSG00000170890.9;ENSG00000184381.14;ENSG00000187980.6;ENSG00000188089.9;ENSG00000188257.6;ENSG00000188784.4;ENSG00000198074.5;ENSG00000243708.4
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,27,ENSG00000004961.10;ENSG00000006695.6;ENSG00000014919.8;ENSG00000023330.10;ENSG00000047457.9;ENSG00000066926.6;ENSG00000080819.2;ENSG00000090013.5;ENSG00000100292.12;ENSG00000103356.11;ENSG00000103415.7;ENSG00000106605.6;ENSG00000126088.8;ENSG00000136628.13;ENSG00000139428.7;ENSG00000143224.13;ENSG00000148218.11;ENSG00000156096.8;ENSG00000158578.14;ENSG00000167165.14;ENSG00000167996.11;ENSG00000169919.12;ENSG00000171234.9;ENSG00000173610.7;ENSG00000188690.8;ENSG00000197888.2;ENSG00000256269.2
KEGG_HISTIDINE_METABOLISM,28,ENSG00000002726.15;ENSG00000006534.11;ENSG00000066651.13;ENSG00000069535.12;ENSG00000072210.14;ENSG00000084110.6;ENSG00000108381.6;ENSG00000108602.13;ENSG00000111275.8;ENSG00000114735.5;ENSG00000132437.13;ENSG00000132744.3;ENSG00000132746.10;ENSG00000137124.6;ENSG00000139344.3;ENSG00000140287.6;ENSG00000143149.8;ENSG00000150540.9;ENSG00000150656.10;ENSG00000159650.4;ENSG00000160282.9;ENSG00000164904.11;ENSG00000165055.11;ENSG00000168806.6;ENSG00000184254.12;ENSG00000189221.5;ENSG00000205629.7;ENSG00000206562.7
KEGG_ETHER_LIPID_METABOLISM,29,ENSG00000007168.8;ENSG00000018510.8;ENSG00000069764.5;ENSG00000075651.11;ENSG00000079462.3;ENSG00000087253.7;ENSG00000100078.3;ENSG00000111666.6;ENSG00000116711.8;ENSG00000123739.6;ENSG00000127472.6;ENSG00000129219.9;ENSG00000136960.8;ENSG00000138308.5;ENSG00000146070.12;ENSG00000153395.5;ENSG00000158006.9;ENSG00000158786.4;ENSG00000164303.6;ENSG00000168092.9;ENSG00000168970.16;ENSG00000170890.9;ENSG00000176454.9;ENSG00000184381.14;ENSG00000187980.6;ENSG00000188089.9;ENSG00000188257.6;ENSG00000188784.4;ENSG00000243708.4
KEGG_THYROID_CANCER,29,ENSG00000039068.14;ENSG00000047410.9;ENSG00000081059.15;ENSG00000100030.10;ENSG00000102882.7;ENSG00000108091.10;ENSG00000110092.3;ENSG00000114354.8;ENSG00000125618.12;ENSG00000126934.9;ENSG00000132170.15;ENSG00000133703.7;ENSG00000136997.10;ENSG00000138293.15;ENSG00000138795.5;ENSG00000141510.11;ENSG00000143171.8;ENSG00000143549.15;ENSG00000148737.11;ENSG00000152284.4;ENSG00000157764.8;ENSG00000165731.13;ENSG00000168036.12;ENSG00000169032.5;ENSG00000174775.12;ENSG00000186350.8;ENSG00000198400.7;ENSG00000204231.6;ENSG00000213281.4
KEGG_O_GLYCAN_BIOSYNTHESIS,29,ENSG00000008513.10;ENSG00000070526.10;ENSG00000100626.12;ENSG00000106392.6;ENSG00000106648.9;ENSG00000109586.7;ENSG00000110328.5;ENSG00000115339.9;ENSG00000119514.5;ENSG00000130035.2;ENSG00000131386.13;ENSG00000136542.4;ENSG00000139629.11;ENSG00000140297.8;ENSG00000141429.9;ENSG00000143641.8;ENSG00000144278.10;ENSG00000157350.8;ENSG00000158089.10;ENSG00000158470.5;ENSG00000164574.11;ENSG00000171155.7;ENSG00000174473.11;ENSG00000176928.4;ENSG00000178234.8;ENSG00000182870.8;ENSG00000187210.8;ENSG00000198488.6;ENSG00000257594.2
