Subset,Subset size,Features
KEGG_MTOR_SIGNALING_PATHWAY,52,ENSG00000017427.11;ENSG00000051382.4;ENSG00000063046.13;ENSG00000071242.7;ENSG00000072133.6;ENSG00000083290.15;ENSG00000100030.10;ENSG00000100644.12;ENSG00000102547.14;ENSG00000102882.7;ENSG00000103197.12;ENSG00000105221.12;ENSG00000105647.10;ENSG00000105851.6;ENSG00000106615.5;ENSG00000108443.9;ENSG00000112715.16;ENSG00000117020.12;ENSG00000117461.10;ENSG00000117676.9;ENSG00000118046.10;ENSG00000119630.9;ENSG00000121879.3;ENSG00000132356.7;ENSG00000135930.9;ENSG00000135932.6;ENSG00000137154.8;ENSG00000140474.8;ENSG00000140992.14;ENSG00000141506.9;ENSG00000141564.9;ENSG00000142208.11;ENSG00000145675.10;ENSG00000150630.2;ENSG00000151247.8;ENSG00000157764.8;ENSG00000162409.6;ENSG00000164327.8;ENSG00000165699.9;ENSG00000167965.13;ENSG00000168209.4;ENSG00000171608.11;ENSG00000173511.5;ENSG00000175634.10;ENSG00000175766.7;ENSG00000177169.5;ENSG00000177189.8;ENSG00000187840.4;ENSG00000198793.8;ENSG00000254647.2;ENSG00000266173.1;ENSG00000268173.1
KEGG_ENDOMETRIAL_CANCER,53,ENSG00000002330.9;ENSG00000039068.14;ENSG00000044115.16;ENSG00000051382.4;ENSG00000066032.14;ENSG00000076242.10;ENSG00000078061.8;ENSG00000081059.15;ENSG00000082701.10;ENSG00000100030.10;ENSG00000100485.7;ENSG00000102882.7;ENSG00000103126.10;ENSG00000105221.12;ENSG00000105647.10;ENSG00000105851.6;ENSG00000110092.3;ENSG00000115266.7;ENSG00000115904.8;ENSG00000117020.12;ENSG00000117461.10;ENSG00000118689.10;ENSG00000121879.3;ENSG00000126767.13;ENSG00000126934.9;ENSG00000132155.7;ENSG00000132906.13;ENSG00000133703.7;ENSG00000134982.12;ENSG00000136997.10;ENSG00000138795.5;ENSG00000138798.7;ENSG00000140992.14;ENSG00000141506.9;ENSG00000141510.11;ENSG00000141736.9;ENSG00000142208.11;ENSG00000145675.10;ENSG00000146648.11;ENSG00000148737.11;ENSG00000152284.4;ENSG00000157764.8;ENSG00000166333.9;ENSG00000168036.12;ENSG00000168646.8;ENSG00000169032.5;ENSG00000171608.11;ENSG00000171862.5;ENSG00000174775.12;ENSG00000177885.9;ENSG00000183230.12;ENSG00000213281.4;ENSG00000268173.1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,53,ENSG00000002330.9;ENSG00000003393.10;ENSG00000015475.14;ENSG00000028137.12;ENSG00000034152.14;ENSG00000067182.3;ENSG00000087088.15;ENSG00000089250.14;ENSG00000100285.9;ENSG00000104722.9;ENSG00000104725.9;ENSG00000105464.3;ENSG00000107758.11;ENSG00000108984.9;ENSG00000110436.7;ENSG00000112062.6;ENSG00000112619.6;ENSG00000120251.14;ENSG00000120868.9;ENSG00000120910.10;ENSG00000121691.4;ENSG00000130204.8;ENSG00000132906.13;ENSG00000135406.9;ENSG00000136238.13;ENSG00000136986.5;ENSG00000137752.18;ENSG00000138814.12;ENSG00000141510.11;ENSG00000142168.10;ENSG00000144566.6;ENSG00000155511.13;ENSG00000156711.12;ENSG00000158882.8;ENSG00000161509.9;ENSG00000164305.13;ENSG00000166869.2;ENSG00000171552.8;ENSG00000171791.10;ENSG00000172115.4;ENSG00000173992.4;ENSG00000176884.10;ENSG00000183454.9;ENSG00000185386.10;ENSG00000187446.7;ENSG00000188130.9;ENSG00000188386.5;ENSG00000197442.8;ENSG00000204209.6;ENSG00000221823.6;ENSG00000232810.3;ENSG00000233276.2;ENSG00000273079.1
KEGG_VIBRIO_CHOLERAE_INFECTION,53,ENSG00000001626.10;ENSG00000033627.10;ENSG00000047249.12;ENSG00000053918.11;ENSG00000058262.5;ENSG00000064651.9;ENSG00000065665.16;ENSG00000071553.12;ENSG00000072062.9;ENSG00000075624.9;ENSG00000087460.19;ENSG00000100196.6;ENSG00000100554.7;ENSG00000104067.12;ENSG00000105438.4;ENSG00000105929.11;ENSG00000106803.5;ENSG00000110719.5;ENSG00000113732.4;ENSG00000114573.5;ENSG00000116039.7;ENSG00000117410.9;ENSG00000119139.12;ENSG00000124181.10;ENSG00000126583.6;ENSG00000128524.4;ENSG00000131100.8;ENSG00000132432.9;ENSG00000136240.5;ENSG00000136888.6;ENSG00000138031.10;ENSG00000142875.15;ENSG00000143761.9;ENSG00000143882.5;ENSG00000147416.6;ENSG00000147614.3;ENSG00000151418.7;ENSG00000154229.7;ENSG00000155097.7;ENSG00000155660.6;ENSG00000159720.7;ENSG00000162104.5;ENSG00000165059.5;ENSG00000166501.8;ENSG00000171130.13;ENSG00000183943.5;ENSG00000184009.5;ENSG00000185344.9;ENSG00000185883.6;ENSG00000197943.5;ENSG00000198788.7;ENSG00000213760.6;ENSG00000250565.2
KEGG_RNA_DEGRADATION,54,ENSG00000038358.10;ENSG00000074800.9;ENSG00000075914.8;ENSG00000077348.4;ENSG00000080802.14;ENSG00000083520.10;ENSG00000088038.13;ENSG00000088930.6;ENSG00000090060.13;ENSG00000106355.5;ENSG00000107371.8;ENSG00000108515.13;ENSG00000110063.4;ENSG00000110367.7;ENSG00000111674.4;ENSG00000113013.8;ENSG00000113300.7;ENSG00000114127.6;ENSG00000115421.8;ENSG00000120699.8;ENSG00000123737.8;ENSG00000125107.12;ENSG00000130332.10;ENSG00000130520.6;ENSG00000130713.11;ENSG00000135698.5;ENSG00000138035.10;ENSG00000138767.8;ENSG00000140395.4;ENSG00000140694.12;ENSG00000144381.12;ENSG00000147905.13;ENSG00000151065.9;ENSG00000155508.9;ENSG00000162290.12;ENSG00000164167.5;ENSG00000166889.13;ENSG00000170860.3;ENSG00000171311.8;ENSG00000171824.9;ENSG00000172795.11;ENSG00000175324.5;ENSG00000178896.6;ENSG00000179151.7;ENSG00000182973.14;ENSG00000197223.7;ENSG00000198677.6;ENSG00000198791.7;ENSG00000204351.7;ENSG00000204392.6;ENSG00000218823.1;ENSG00000223496.1;ENSG00000224760.3;ENSG00000236217.3
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,54,ENSG00000006534.11;ENSG00000008394.8;ENSG00000021461.12;ENSG00000065621.10;ENSG00000084207.11;ENSG00000085871.4;ENSG00000099984.6;ENSG00000100577.14;ENSG00000104808.3;ENSG00000106258.9;ENSG00000108242.8;ENSG00000108602.13;ENSG00000130649.5;ENSG00000132746.10;ENSG00000134184.8;ENSG00000134201.6;ENSG00000134202.6;ENSG00000138061.7;ENSG00000138109.9;ENSG00000138115.9;ENSG00000140465.9;ENSG00000143198.8;ENSG00000143819.8;ENSG00000148834.8;ENSG00000151632.12;ENSG00000156096.8;ENSG00000160868.10;ENSG00000160870.8;ENSG00000165841.5;ENSG00000167165.14;ENSG00000167600.9;ENSG00000168765.11;ENSG00000170899.6;ENSG00000171234.9;ENSG00000172955.13;ENSG00000173610.7;ENSG00000174156.9;ENSG00000184254.12;ENSG00000184674.8;ENSG00000187134.8;ENSG00000187758.3;ENSG00000196139.7;ENSG00000196344.7;ENSG00000196616.8;ENSG00000197408.4;ENSG00000197446.4;ENSG00000197448.9;ENSG00000197888.2;ENSG00000197894.6;ENSG00000198099.4;ENSG00000213366.8;ENSG00000243955.1;ENSG00000244067.1;ENSG00000248144.1
KEGG_BASAL_CELL_CARCINOMA,54,ENSG00000002745.8;ENSG00000004975.7;ENSG00000061492.7;ENSG00000074047.16;ENSG00000075290.7;ENSG00000081059.15;ENSG00000082701.10;ENSG00000085741.8;ENSG00000103126.10;ENSG00000104290.6;ENSG00000105989.4;ENSG00000106571.8;ENSG00000107404.13;ENSG00000107882.7;ENSG00000108379.5;ENSG00000111087.5;ENSG00000111186.8;ENSG00000111432.4;ENSG00000114251.9;ENSG00000115266.7;ENSG00000115596.3;ENSG00000117425.9;ENSG00000125084.7;ENSG00000125378.11;ENSG00000125845.6;ENSG00000128602.5;ENSG00000134245.13;ENSG00000134982.12;ENSG00000135925.4;ENSG00000138795.5;ENSG00000141510.11;ENSG00000143816.7;ENSG00000148737.11;ENSG00000152284.4;ENSG00000154764.5;ENSG00000155760.1;ENSG00000157240.2;ENSG00000158955.6;ENSG00000161202.13;ENSG00000162552.10;ENSG00000163251.3;ENSG00000163482.7;ENSG00000164161.5;ENSG00000164690.3;ENSG00000164930.7;ENSG00000168036.12;ENSG00000168646.8;ENSG00000169884.9;ENSG00000174804.3;ENSG00000177283.4;ENSG00000180340.5;ENSG00000185920.11;ENSG00000188064.5;ENSG00000188763.3
KEGG_INOSITOL_PHOSPHATE_METABOLISM,54,ENSG00000011405.9;ENSG00000040933.11;ENSG00000051382.4;ENSG00000068383.14;ENSG00000078142.7;ENSG00000078269.9;ENSG00000100253.8;ENSG00000100605.12;ENSG00000101333.12;ENSG00000103502.9;ENSG00000105655.14;ENSG00000105851.6;ENSG00000107242.13;ENSG00000107789.11;ENSG00000109452.8;ENSG00000111669.10;ENSG00000115020.12;ENSG00000115556.9;ENSG00000119711.8;ENSG00000121879.3;ENSG00000122126.11;ENSG00000124181.10;ENSG00000127080.5;ENSG00000132376.15;ENSG00000133056.9;ENSG00000133731.5;ENSG00000137825.6;ENSG00000137841.7;ENSG00000138193.10;ENSG00000139144.5;ENSG00000139151.10;ENSG00000141401.7;ENSG00000141720.7;ENSG00000143393.12;ENSG00000143398.15;ENSG00000143772.5;ENSG00000148384.11;ENSG00000149782.7;ENSG00000150867.9;ENSG00000151151.5;ENSG00000151689.8;ENSG00000159082.13;ENSG00000161714.7;ENSG00000165458.9;ENSG00000166908.13;ENSG00000171608.11;ENSG00000171862.5;ENSG00000182621.12;ENSG00000185133.9;ENSG00000186111.4;ENSG00000187091.9;ENSG00000197943.5;ENSG00000204084.8;ENSG00000241973.6
KEGG_NON_SMALL_CELL_LUNG_CANCER,55,ENSG00000002330.9;ENSG00000007968.6;ENSG00000051382.4;ENSG00000068028.13;ENSG00000077092.14;ENSG00000078061.8;ENSG00000100030.10;ENSG00000100485.7;ENSG00000101109.7;ENSG00000101412.9;ENSG00000102882.7;ENSG00000105221.12;ENSG00000105647.10;ENSG00000105810.5;ENSG00000105851.6;ENSG00000110092.3;ENSG00000112242.10;ENSG00000115904.8;ENSG00000117020.12;ENSG00000117461.10;ENSG00000118689.10;ENSG00000121879.3;ENSG00000124181.10;ENSG00000126583.6;ENSG00000126934.9;ENSG00000132155.7;ENSG00000132906.13;ENSG00000133703.7;ENSG00000135446.12;ENSG00000136653.15;ENSG00000138798.7;ENSG00000139687.9;ENSG00000140992.14;ENSG00000141506.9;ENSG00000141510.11;ENSG00000141736.9;ENSG00000142208.11;ENSG00000143171.8;ENSG00000145675.10;ENSG00000146648.11;ENSG00000147889.12;ENSG00000154229.7;ENSG00000157764.8;ENSG00000163235.11;ENSG00000166501.8;ENSG00000169032.5;ENSG00000171608.11;ENSG00000174775.12;ENSG00000177885.9;ENSG00000186350.8;ENSG00000189283.5;ENSG00000197943.5;ENSG00000204231.6;ENSG00000213281.4;ENSG00000268173.1
KEGG_HEDGEHOG_SIGNALING_PATHWAY,55,ENSG00000002745.8;ENSG00000043355.6;ENSG00000061492.7;ENSG00000072062.9;ENSG00000072803.13;ENSG00000074047.16;ENSG00000075290.7;ENSG00000081479.8;ENSG00000082701.10;ENSG00000085741.8;ENSG00000101144.8;ENSG00000105989.4;ENSG00000106571.8;ENSG00000107882.7;ENSG00000108379.5;ENSG00000111087.5;ENSG00000111186.8;ENSG00000112175.6;ENSG00000112210.7;ENSG00000113712.12;ENSG00000114251.9;ENSG00000115596.3;ENSG00000116985.6;ENSG00000117425.9;ENSG00000125084.7;ENSG00000125378.11;ENSG00000125845.6;ENSG00000128602.5;ENSG00000133275.11;ENSG00000134245.13;ENSG00000135925.4;ENSG00000139549.2;ENSG00000141551.10;ENSG00000142875.15;ENSG00000143816.7;ENSG00000151292.13;ENSG00000153162.8;ENSG00000154764.5;ENSG00000158955.6;ENSG00000162552.10;ENSG00000163482.7;ENSG00000163501.6;ENSG00000164161.5;ENSG00000164690.3;ENSG00000165059.5;ENSG00000166167.13;ENSG00000169118.11;ENSG00000169884.9;ENSG00000180138.6;ENSG00000180447.5;ENSG00000183682.7;ENSG00000183943.5;ENSG00000185920.11;ENSG00000188064.5;ENSG00000213923.6
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,55,ENSG00000013503.5;ENSG00000073009.8;ENSG00000088888.13;ENSG00000100413.12;ENSG00000100906.6;ENSG00000103490.13;ENSG00000104365.9;ENSG00000104825.12;ENSG00000107201.5;ENSG00000109320.7;ENSG00000113356.6;ENSG00000120235.3;ENSG00000120242.3;ENSG00000121851.8;ENSG00000124256.10;ENSG00000125538.7;ENSG00000126456.11;ENSG00000129277.9;ENSG00000129465.11;ENSG00000132664.7;ENSG00000136244.7;ENSG00000137033.7;ENSG00000137080.4;ENSG00000137275.9;ENSG00000137752.18;ENSG00000143466.9;ENSG00000147873.4;ENSG00000147885.2;ENSG00000148606.8;ENSG00000150782.7;ENSG00000160710.11;ENSG00000161570.4;ENSG00000161980.5;ENSG00000163568.9;ENSG00000168495.8;ENSG00000169245.4;ENSG00000171453.13;ENSG00000171855.5;ENSG00000173039.14;ENSG00000183735.5;ENSG00000184584.8;ENSG00000185507.15;ENSG00000186141.4;ENSG00000186184.11;ENSG00000186803.3;ENSG00000188379.5;ENSG00000197262.8;ENSG00000197919.3;ENSG00000213341.6;ENSG00000213689.5;ENSG00000214042.1;ENSG00000228083.1;ENSG00000233816.2;ENSG00000234829.2;ENSG00000236637.1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,56,ENSG00000010810.13;ENSG00000015285.6;ENSG00000039068.14;ENSG00000067560.6;ENSG00000067900.6;ENSG00000070831.11;ENSG00000071051.9;ENSG00000075624.9;ENSG00000075886.10;ENSG00000085733.11;ENSG00000092820.13;ENSG00000097007.13;ENSG00000101162.3;ENSG00000104833.6;ENSG00000106299.7;ENSG00000111057.6;ENSG00000111229.11;ENSG00000115053.11;ENSG00000116584.13;ENSG00000123416.11;ENSG00000127824.9;ENSG00000130429.8;ENSG00000134308.9;ENSG00000134318.9;ENSG00000136869.13;ENSG00000136950.9;ENSG00000137267.5;ENSG00000137285.9;ENSG00000150093.14;ENSG00000152086.7;ENSG00000154229.7;ENSG00000154589.2;ENSG00000158092.2;ENSG00000162704.11;ENSG00000163347.5;ENSG00000163466.11;ENSG00000164924.13;ENSG00000167552.9;ENSG00000167553.10;ENSG00000168036.12;ENSG00000170458.9;ENSG00000173876.9;ENSG00000176014.8;ENSG00000178462.7;ENSG00000180353.6;ENSG00000183785.10;ENSG00000184009.5;ENSG00000187554.7;ENSG00000188229.5;ENSG00000196230.8;ENSG00000197822.6;ENSG00000198211.8;ENSG00000241553.8;ENSG00000241685.4;ENSG00000251297.1;ENSG00000258947.2
KEGG_ARACHIDONIC_ACID_METABOLISM,56,ENSG00000012779.6;ENSG00000059377.11;ENSG00000069764.5;ENSG00000073756.7;ENSG00000095303.10;ENSG00000099998.13;ENSG00000100031.14;ENSG00000100078.3;ENSG00000107317.7;ENSG00000108242.8;ENSG00000108839.7;ENSG00000111144.5;ENSG00000116157.5;ENSG00000116711.8;ENSG00000120915.9;ENSG00000123739.6;ENSG00000124212.5;ENSG00000127472.6;ENSG00000130649.5;ENSG00000131067.12;ENSG00000134716.5;ENSG00000138109.9;ENSG00000138115.9;ENSG00000138308.5;ENSG00000148334.10;ENSG00000148344.10;ENSG00000155016.13;ENSG00000158786.4;ENSG00000159228.8;ENSG00000159231.5;ENSG00000161905.8;ENSG00000162365.7;ENSG00000163106.6;ENSG00000165841.5;ENSG00000167468.12;ENSG00000167741.6;ENSG00000168970.16;ENSG00000170890.9;ENSG00000176153.10;ENSG00000179477.5;ENSG00000179593.11;ENSG00000184381.14;ENSG00000186115.8;ENSG00000186529.10;ENSG00000187048.8;ENSG00000187980.6;ENSG00000188089.9;ENSG00000188257.6;ENSG00000188784.4;ENSG00000196139.7;ENSG00000197408.4;ENSG00000211445.7;ENSG00000213316.5;ENSG00000224586.2;ENSG00000233276.2;ENSG00000243708.4
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,56,ENSG00000006534.11;ENSG00000007933.8;ENSG00000008394.8;ENSG00000010932.11;ENSG00000021461.12;ENSG00000065621.10;ENSG00000069535.12;ENSG00000076258.5;ENSG00000084207.11;ENSG00000085871.4;ENSG00000094963.9;ENSG00000099984.6;ENSG00000100197.16;ENSG00000100577.14;ENSG00000106258.9;ENSG00000108242.8;ENSG00000108602.13;ENSG00000130649.5;ENSG00000131781.8;ENSG00000132746.10;ENSG00000134184.8;ENSG00000134201.6;ENSG00000134202.6;ENSG00000138109.9;ENSG00000138115.9;ENSG00000138356.9;ENSG00000143198.8;ENSG00000148834.8;ENSG00000156096.8;ENSG00000160868.10;ENSG00000160870.8;ENSG00000165841.5;ENSG00000167165.14;ENSG00000168765.11;ENSG00000170899.6;ENSG00000171234.9;ENSG00000172955.13;ENSG00000173610.7;ENSG00000174156.9;ENSG00000184254.12;ENSG00000184674.8;ENSG00000187758.3;ENSG00000189221.5;ENSG00000196344.7;ENSG00000196616.8;ENSG00000197408.4;ENSG00000197448.9;ENSG00000197888.2;ENSG00000197894.6;ENSG00000198077.6;ENSG00000198099.4;ENSG00000213366.8;ENSG00000243955.1;ENSG00000244067.1;ENSG00000248144.1;ENSG00000255974.2
KEGG_ACUTE_MYELOID_LEUKEMIA,58,ENSG00000002330.9;ENSG00000051382.4;ENSG00000066336.7;ENSG00000073009.8;ENSG00000078061.8;ENSG00000079102.12;ENSG00000081059.15;ENSG00000100030.10;ENSG00000100485.7;ENSG00000102096.9;ENSG00000102882.7;ENSG00000104365.9;ENSG00000105221.12;ENSG00000105647.10;ENSG00000105851.6;ENSG00000108443.9;ENSG00000109320.7;ENSG00000109906.9;ENSG00000110092.3;ENSG00000112033.9;ENSG00000115904.8;ENSG00000117020.12;ENSG00000117461.10;ENSG00000121879.3;ENSG00000122025.10;ENSG00000126561.12;ENSG00000126934.9;ENSG00000131759.13;ENSG00000132155.7;ENSG00000133101.5;ENSG00000133703.7;ENSG00000136997.10;ENSG00000137193.9;ENSG00000138795.5;ENSG00000140464.15;ENSG00000141506.9;ENSG00000142208.11;ENSG00000145675.10;ENSG00000148737.11;ENSG00000152284.4;ENSG00000157404.11;ENSG00000157764.8;ENSG00000159216.14;ENSG00000168610.10;ENSG00000169032.5;ENSG00000171608.11;ENSG00000173039.14;ENSG00000173757.5;ENSG00000173801.12;ENSG00000174775.12;ENSG00000175634.10;ENSG00000177885.9;ENSG00000187840.4;ENSG00000198793.8;ENSG00000213281.4;ENSG00000213341.6;ENSG00000245848.2;ENSG00000268173.1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,59,ENSG00000023445.9;ENSG00000050748.13;ENSG00000055208.13;ENSG00000064012.17;ENSG00000073009.8;ENSG00000080824.14;ENSG00000081041.8;ENSG00000087077.7;ENSG00000091106.14;ENSG00000091592.11;ENSG00000096384.15;ENSG00000100030.10;ENSG00000100324.9;ENSG00000100906.6;ENSG00000101966.8;ENSG00000102882.7;ENSG00000103313.7;ENSG00000103490.13;ENSG00000104312.6;ENSG00000104365.9;ENSG00000104825.12;ENSG00000105483.12;ENSG00000106100.6;ENSG00000107643.11;ENSG00000108688.7;ENSG00000108691.5;ENSG00000108700.4;ENSG00000109320.7;ENSG00000109339.14;ENSG00000110330.4;ENSG00000112062.6;ENSG00000118503.10;ENSG00000125538.7;ENSG00000132357.9;ENSG00000135341.13;ENSG00000136244.7;ENSG00000137752.18;ENSG00000137757.6;ENSG00000140368.8;ENSG00000150782.7;ENSG00000156711.12;ENSG00000157625.11;ENSG00000161570.4;ENSG00000162711.12;ENSG00000163739.4;ENSG00000165416.10;ENSG00000166598.8;ENSG00000167207.7;ENSG00000169900.3;ENSG00000173039.14;ENSG00000175104.10;ENSG00000181374.3;ENSG00000185386.10;ENSG00000187796.9;ENSG00000188130.9;ENSG00000213341.6;ENSG00000232810.3;ENSG00000249437.3;ENSG00000255501.1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,60,ENSG00000006534.11;ENSG00000067057.12;ENSG00000067225.13;ENSG00000072210.14;ENSG00000074800.9;ENSG00000079739.11;ENSG00000091140.8;ENSG00000100889.7;ENSG00000102144.9;ENSG00000105220.10;ENSG00000106633.11;ENSG00000108515.13;ENSG00000108602.13;ENSG00000109107.9;ENSG00000111275.8;ENSG00000111640.10;ENSG00000111669.10;ENSG00000111674.4;ENSG00000111716.8;ENSG00000117448.9;ENSG00000124253.9;ENSG00000130957.4;ENSG00000131069.15;ENSG00000131482.5;ENSG00000131828.9;ENSG00000132746.10;ENSG00000134333.9;ENSG00000136872.13;ENSG00000137124.6;ENSG00000141959.12;ENSG00000143149.8;ENSG00000143627.13;ENSG00000143891.12;ENSG00000149925.12;ENSG00000150768.11;ENSG00000152254.6;ENSG00000152556.11;ENSG00000154930.10;ENSG00000156515.17;ENSG00000159399.5;ENSG00000160883.6;ENSG00000164708.5;ENSG00000164904.11;ENSG00000165140.5;ENSG00000166796.7;ENSG00000166800.5;ENSG00000168291.8;ENSG00000169299.9;ENSG00000171314.8;ENSG00000171989.4;ENSG00000172331.7;ENSG00000172955.13;ENSG00000184254.12;ENSG00000187758.3;ENSG00000196344.7;ENSG00000196616.8;ENSG00000197894.6;ENSG00000198099.4;ENSG00000226784.1;ENSG00000248144.1
KEGG_COLORECTAL_CANCER,63,ENSG00000002330.9;ENSG00000050748.13;ENSG00000051382.4;ENSG00000067560.6;ENSG00000076242.10;ENSG00000078061.8;ENSG00000081059.15;ENSG00000082701.10;ENSG00000087088.15;ENSG00000089685.10;ENSG00000092969.7;ENSG00000095002.8;ENSG00000100030.10;ENSG00000102882.7;ENSG00000103126.10;ENSG00000105221.12;ENSG00000105329.5;ENSG00000105647.10;ENSG00000105851.6;ENSG00000106799.8;ENSG00000107643.11;ENSG00000109339.14;ENSG00000110092.3;ENSG00000113318.9;ENSG00000115266.7;ENSG00000116062.10;ENSG00000117020.12;ENSG00000117461.10;ENSG00000119699.3;ENSG00000121879.3;ENSG00000128340.10;ENSG00000132155.7;ENSG00000132906.13;ENSG00000133703.7;ENSG00000134982.12;ENSG00000136238.13;ENSG00000136997.10;ENSG00000138795.5;ENSG00000141506.9;ENSG00000141510.11;ENSG00000141646.9;ENSG00000142208.11;ENSG00000145675.10;ENSG00000148737.11;ENSG00000152284.4;ENSG00000157500.6;ENSG00000157764.8;ENSG00000160271.10;ENSG00000163513.13;ENSG00000164305.13;ENSG00000166949.11;ENSG00000168036.12;ENSG00000168646.8;ENSG00000169032.5;ENSG00000169750.4;ENSG00000170345.5;ENSG00000171608.11;ENSG00000171791.10;ENSG00000172115.4;ENSG00000175387.11;ENSG00000177606.5;ENSG00000187323.7;ENSG00000268173.1
KEGG_P53_SIGNALING_PATHWAY,65,ENSG00000015475.14;ENSG00000017427.11;ENSG00000026103.15;ENSG00000048392.7;ENSG00000064012.17;ENSG00000075218.14;ENSG00000078900.10;ENSG00000080546.9;ENSG00000085117.7;ENSG00000087088.15;ENSG00000099860.4;ENSG00000103197.12;ENSG00000105173.9;ENSG00000105327.11;ENSG00000105810.5;ENSG00000106366.7;ENSG00000110092.3;ENSG00000112378.11;ENSG00000112576.8;ENSG00000113328.14;ENSG00000115107.15;ENSG00000115129.9;ENSG00000116717.7;ENSG00000118971.3;ENSG00000120471.10;ENSG00000120868.9;ENSG00000120889.8;ENSG00000123374.6;ENSG00000124762.9;ENSG00000130222.6;ENSG00000130766.4;ENSG00000132906.13;ENSG00000134057.10;ENSG00000134574.7;ENSG00000135446.12;ENSG00000135679.17;ENSG00000137801.9;ENSG00000138764.9;ENSG00000141510.11;ENSG00000141682.11;ENSG00000146674.10;ENSG00000147082.13;ENSG00000147889.12;ENSG00000149212.6;ENSG00000149311.13;ENSG00000149547.10;ENSG00000149554.8;ENSG00000157456.3;ENSG00000163743.9;ENSG00000164054.11;ENSG00000164305.13;ENSG00000170312.11;ENSG00000170836.7;ENSG00000171848.9;ENSG00000171862.5;ENSG00000172115.4;ENSG00000172667.6;ENSG00000175054.10;ENSG00000175305.12;ENSG00000175793.10;ENSG00000177519.3;ENSG00000183765.16;ENSG00000196470.7;ENSG00000198625.8;ENSG00000206075.9
KEGG_GLIOMA,66,ENSG00000007968.6;ENSG00000017427.11;ENSG00000051382.4;ENSG00000058404.15;ENSG00000070808.11;ENSG00000078061.8;ENSG00000100030.10;ENSG00000100311.12;ENSG00000100485.7;ENSG00000101412.9;ENSG00000102882.7;ENSG00000105221.12;ENSG00000105647.10;ENSG00000105810.5;ENSG00000105851.6;ENSG00000110092.3;ENSG00000112242.10;ENSG00000113721.9;ENSG00000115904.8;ENSG00000117020.12;ENSG00000117461.10;ENSG00000121879.3;ENSG00000124181.10;ENSG00000124762.9;ENSG00000126583.6;ENSG00000126934.9;ENSG00000129946.6;ENSG00000132155.7;ENSG00000133703.7;ENSG00000134853.7;ENSG00000135446.12;ENSG00000135679.17;ENSG00000138798.7;ENSG00000139687.9;ENSG00000140443.9;ENSG00000141506.9;ENSG00000141510.11;ENSG00000142208.11;ENSG00000143933.12;ENSG00000145349.12;ENSG00000145675.10;ENSG00000146648.11;ENSG00000147889.12;ENSG00000148082.5;ENSG00000148660.16;ENSG00000154229.7;ENSG00000157764.8;ENSG00000160014.12;ENSG00000160691.14;ENSG00000163235.11;ENSG00000166501.8;ENSG00000169032.5;ENSG00000169885.5;ENSG00000171608.11;ENSG00000171862.5;ENSG00000174775.12;ENSG00000177885.9;ENSG00000178363.3;ENSG00000178372.6;ENSG00000185634.7;ENSG00000197461.9;ENSG00000197943.5;ENSG00000198668.6;ENSG00000198793.8;ENSG00000213281.4;ENSG00000268173.1
KEGG_VIRAL_MYOCARDITIS,66,ENSG00000005844.13;ENSG00000010810.13;ENSG00000015475.14;ENSG00000064012.17;ENSG00000075151.15;ENSG00000075624.9;ENSG00000078814.11;ENSG00000090339.4;ENSG00000092054.12;ENSG00000097007.13;ENSG00000100345.16;ENSG00000101017.9;ENSG00000102245.3;ENSG00000102683.6;ENSG00000105357.11;ENSG00000105974.7;ENSG00000108823.11;ENSG00000109061.9;ENSG00000109063.10;ENSG00000110092.3;ENSG00000110321.11;ENSG00000114013.11;ENSG00000114867.15;ENSG00000121594.7;ENSG00000125414.14;ENSG00000128340.10;ENSG00000132906.13;ENSG00000133020.4;ENSG00000133026.8;ENSG00000133392.12;ENSG00000136238.13;ENSG00000143322.15;ENSG00000144821.5;ENSG00000154639.14;ENSG00000160255.12;ENSG00000163069.8;ENSG00000164305.13;ENSG00000169750.4;ENSG00000170624.9;ENSG00000172115.4;ENSG00000173402.7;ENSG00000178562.13;ENSG00000179344.12;ENSG00000180644.6;ENSG00000184009.5;ENSG00000196126.6;ENSG00000196352.9;ENSG00000196569.7;ENSG00000196735.7;ENSG00000197616.7;ENSG00000198502.5;ENSG00000198947.10;ENSG00000204252.8;ENSG00000204257.10;ENSG00000204287.9;ENSG00000204525.10;ENSG00000204592.5;ENSG00000204632.7;ENSG00000204642.9;ENSG00000206503.7;ENSG00000223865.6;ENSG00000231389.3;ENSG00000234745.5;ENSG00000237541.3;ENSG00000241106.2;ENSG00000242574.4
